Processor,Display,Video graphics,Hard drive,Storage,RAM,Display Resolution,Screen size,Screen Height,Screen Width,Display Refresh Rate,CPU,GPU,Weight,Price
Intel Core i7-14650HX,"16"" WQXGA IPS 500nits Anti-glare, 100% DCI-P3, 240Hz, DisplayHDR™ 400, Dolby Vision®, G-SYNC®, Low Blue Light, High Gaming Performance",Nvidia GeForce RTX 5050 8GB,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,1,2560x1600,16.0,1600,2560,240,14650,5050,2.0,66666.0
Intel® Core™ i5-13420H,"15.6"" diagonal, FHD, 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",NVIDIA® GeForce RTX™ 2050,512 GB PCIe® Gen4 NVMe™ M.2 SSD,512,8,1920 x 1080,15.6,1080,1920,144,13420,2050,2.0,30999.0
Intel® Core™ i5-13420H,"15.6"" diagonal, FHD, 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",NVIDIA® GeForce RTX™ 2050,512 GB PCIe® Gen4 NVMe™ M.2 SSD,512,8,1920 x 1080,15.6,1080,1920,144,13420,2050,2.0,31899.0
Intel® Core i9-14900HX,"15.1"" WQXGA OLED 500nits glossy, 100% DCI-P3, 165Hz, Dolby Vision®, DisplayHDR™ True Black 600",Nvidia GeForce RTX 5070 8GB,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,2242,32,2560 x 1600,15.1,1600,2560,165,14900,5070,1.0,113000.0
AMD Ryzen 9 9955HX,"16” FHD+ (1920x1200), 165Hz, WUXGA IPS, 16:10 aspect ratio",Nvidia GeForce RTX 5060 8GB,1TB PCIe 4.0 NVMe SSD,512,16,1920 x 1200,16.0,1200,1920,165,9955,5060,2.0,92999.0
Intel Core 5 210H,"16 FHD+ 16:10 (1920 x 1200, WUXGA) 144HZ",Nvidia GeForce RTX 3050,512GB PCIe® 4.0 NVMe™ M.2 SSD,512,8,1920 x 1200,16.0,1200,1920,144,8290,3050,2.0,36666.0
Intel Core Ultra 9 275HX,"ROG Nebula Display 18-inch 2.5K (2560 x 1600, WQXGA) 16:10 aspect ratio IPS-level anti-glare display DCI-P3: 100% Refresh Rate: 240Hz G-Sync Pantone Validated MUX Switch + NVIDIA® Advanced Optimus Support Dolby Vision HDR : Yes",Nvidia GeForce RTX 5070 Ti 12GB,1TB PCIe® 4.0 NVMe™ M.2 Performance SSD,512,16,2560 x 1600,18.0,1600,2560,240,8290,5070,3.0,164888.0
Intel Core Ultra 9 275HX,"16-inch FHD+ 16:10 (1920 x 1200, WUXGA) IPS-level anti-glare display sRGB: 100% Refresh Rate: 165Hz Response Time: 3ms G-Sync MUX Switch + NVIDIA® Advanced Optimus Support Dolby Vision HDR : Yes",Nvidia GeForce RTX 5070Ti 12GB,1TB PCIe® 4.0 NVMe™ M.2 SSD,512,32,1920 x 1200,16.0,1200,1920,165,8290,5070,2.0,135000.0
Intel Core I9-14900HX,"16-inch FHD+ 16:10 (1920 x 1200, WUXGA) IPS-level anti-glare display sRGB: 100% Refresh Rate: 165Hz Response Time: 7ms G-Sync MUX Switch + NVIDIA® Advanced Optimus Support Dolby Vision HDR : Yes",Nvidia GeForce RTX 4060 8GB,1TB PCIe® 4.0 NVMe™ M.2 SSD,512,16,1920 x 1200,16.0,1200,1920,165,14900,4060,2.0,85399.0
Intel Core i9-14900HX,"16"" 16:10 FHD+ (1920 x 1200), 144Hz, IPS-level panel",Nvida GeForce RTX 4060 8GB,1TB NVMe PCIe SSD Gen4x4,512,16,1920 x 1080,16.0,1080,1920,144,14900,4060,2.0,69999.0
Intel Core I5-12450HX,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",Nvidia GeForce RTX 2050 4GB,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,1,1920 x 1080,15.6,1080,1920,144,12450,2050,2.0,30777.0
Intel Core Ultra 9 185H,"ROG Nebula Display 16-inch 2.5K (2560 x 1600, WQXGA) 16:10 aspect ratio OLED glossy display Refresh Rate: 240Hz",Nvidia Geforce RTX 4070,1TB SSD,512,16,2560 x 1600,16.0,1600,2560,240,8290,4070,1.0,108000.0
Intel Core Ultra 9 185H,"16” QHD+ (2560x1600), 240Hz, IPS-Level",Nvidia GeForce RTX 4070 8GB,1 TB NVMe PCIe Gen4 SSD,512,32,2560x1600,16.0,1600,2560,240,8290,4070,1.0,104999.0
Intel Core Ultra 9 275HX,"16” QHD+, 240Hz, IPS-Level",Nvidia GeForce RTX 5080 16GB,1TB SSD,512,16,2560x1600,16.0,1600,2560,240,8290,5080,2.0,151999.0
Intel Core i7-14700HX,"16.1"" diagonal FHD 144Hz display",Nvidia GeForce RTX 4070 8GB,1 TB PCIe® NVMe™ M.2 SSD,512,16,1920 x 1080,16.1,1080,1920,144,14700,4070,2.0,82399.0
Intel Core I9-14900HX,"16” QHD+ (2560x1600), 240Hz, IPS-Level",Nvidia GeForce RTX 4090 16GB,1TB M.2 SSD,512,32,2560x1600,16.0,1600,2560,240,14900,4090,2.0,179888.0
Intel Core Ultra 9 275HX,"16"" 16:10 QHD, 240Hz, 100% DCI-P3, IPS-level panel",GeForce RTX™ 5070 Ti,1TB NVMe PCIe SSD Gen4x4 w/o DRAM,512,32,2560x1600,16.0,1600,2560,240,8290,5070,2.0,129999.0
Intel Core Ultra 9 275HX,"16"" 16:10 QHD, 240Hz, 100% DCI-P3, IPS-level panel",Nvidia GeForce RTX 5080,1TB NVMe PCIe SSD Gen4x4 w/o DRAM,512,32,2560x1600,16.0,1600,2560,240,8290,5080,2.0,169999.0
Intel Core Ultra 9 285HX,"18"" 16:10 UHD+ (3840x2400), MiniLED, 120Hz, 100% DCI-P3 (Typ.), IPS-Level panel",Nvidia GeForce RTX™ 5090,4TB SSD - 2TB NVMe PCIe Gen5x4 SSD + 2TB NVMe PCIe Gen4x4 SSD,512,64,3840x2400,18.0,2400,3840,120,8290,5090,3.0,299999.0
Intel® Core™ i5-13450HX,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 3050,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,2,1920x1080,15.6,1080,1920,144,13450,3050,2.0,36666.0
Intel Core Ultra 9 275HX,"16-inch 2.5K, WQXGA 16:10 aspect ratio IPS-level anti-glare display DCI-P3: 100% Refresh Rate: 240Hz Response Time: 3ms G-Sync Pantone Validated MUX Switch + NVIDIA® Advanced Optimus Support Dolby Vision HDR : Yes",Nvidia GeForce RTX 5080,2TB PCIe® 4.0 NVMe™ M.2 Performance SSD,512,64,2560 x 1600,16.0,1600,2560,240,8290,5080,2.0,193999.0
​Intel Core Ultra 9 275HX,16-inch 2.5K WQXGA 16:10 aspect ratio IPS-level anti-glare display DCI-P3: 100% Refresh Rate: 240Hz Response Time: 3ms G-Sync Pantone Validated MUX Switch + NVIDIA® Advanced Optimus Support Dolby Vision HDR : Yes,NVIDIA® GeForce RTX™ 5070 Ti,1TB PCIe® 4.0 NVMe™ M.2 Performance SSD,512,32,2560 x 1600,16.0,1600,2560,240,8290,5070,2.0,155000.0
